,message_url,From,Subject,Date,body
0,https://politicalemails.org/messages/1064260,Elizabeth Warren,I’m done being surprised,"May 31, 2023 11:28 PM","Congressional Republicans love to preach a “pull yourself up by your bootstraps” mentality — until they’re talking to a billionaire. They love to champion an America that says “I’ve got mine, the rest of you are on your own” — but this doesn’t seem apply to giant corporations who get their handouts. Take what’s happening in Congress right now: Republicans are demanding we pinch pennies on programs like food assistance and health care for families. But next month, they want to roll out a plan that hands trillions in tax cuts to big corporations and the wealthy. I’m done being surprised at their hypocrisy, but I’m not done fighting back. Simply put, the rules work differently for different groups of people — and I’m doing everything in my power to put a stop to this rigged system and change this. Will you pitch in $15 or anything you can to power this fight before our midnight fundraising deadline tonight? I’m running for re-election to continue to use my voice to advocate for big, structural changes that actually help working people. But I can’t do this without your support. [[link removed]] I never expect you to donate to every email, but I wanted to ask before our important monthly fundraising deadline tonight at midnight, in case a financial contribution would make sense for you right now. I’m always grateful to fight alongside you. Thanks for being a part of this, Elizabeth DONATE [[link removed]] Paid for by Warren for Senate All content © 2023 Warren for Senate, All Rights Reserved PO Box 171375, Boston, MA 02117 This email was sent to [email protected] . To unsubscribe, go to:  unsubscribe: [link removed]  ."
1,https://politicalemails.org/messages/1062765,Elizabeth Warren,I wouldn’t ask if it weren’t powerfully important,"May 30, 2023 10:36 PM","I’m running for re-election because there’s a lot we’ve got to do in order to save our country from extremists and make real change for our working families. And I’m going to keep fighting my heart out for this. Here’s a few of the ideas I believe in: We need to pass a wealth tax. Supreme Court Justices should follow a basic code of ethics. Quality child care should not eat up an entire paycheck. Big bank executives should not be able to gamble with consumers’ livelihoods. The filibuster must be abolished so we can pass the laws that the majority of Americans are calling for, like protecting abortion rights and enacting gun safety laws. If you’re with me, will you pitch in to support my re-election today? In order to run our campaign for these plans, we need to hit our monthly fundraising goals, and we’ve got an important one coming up tomorrow. So please pitch in $15 or anything you can so I can keep up this fight in the Senate. [[link removed]] If you've saved payment info with ActBlue Express, your donation will process automatically: DONATE NOW: $3 [secure.actblue.com/donate/wfs-may23?&express_lane=true&amount=3] DONATE NOW: $15 [secure.actblue.com/donate/wfs-may23?&express_lane=true&amount=15] DONATE NOW: $28 [secure.actblue.com/donate/wfs-may23?&express_lane=true&amount=28] DONATE NOW: $50 [secure.actblue.com/donate/wfs-may23?&express_lane=true&amount=50] DONATE NOW: $100 [secure.actblue.com/donate/wfs-may23?&express_lane=true&amount=100] OTHER AMOUNT [secure.actblue.com/donate/wfs-may23] > Your support will help ensure that we can keep building our movement for big, structural change. That we can get our message out there and campaign for these plans across the country. Powerful special interests and extremist Republicans will be against us. But when we organize, hold those in power accountable, and fight righteous fights, we can continue to make positive change. Additionally, the special interests we’re up against will use our fundraising results to gauge what they’re up against. So how about we give them something to worry about? I wouldn’t ask if it weren’t powerfully important that we hit our goal: Please pitch in $15 or any amount before tomorrow at midnight to help power our fight. [[link removed]] Thanks for being a part of this, Elizabeth DONATE [[link removed]] Paid for by Warren for Senate All content © 2023 Warren for Senate, All Rights Reserved PO Box 171375, Boston, MA 02117 This email was sent to [email protected] . To unsubscribe, go to:  unsubscribe: [link removed]  ."
2,https://politicalemails.org/messages/1061340,Elizabeth Warren,"When a letter came from one of my brothers, the day was extra-sunny","May 29, 2023 2:55 PM","My first memory of my oldest brother, Don Reed, is like a five-second home-movie fragment that plays in my head. It’s 1953. He’s nineteen; I’m three. We’ve driven to Oklahoma City, where he will report for duty to the Air Force. My mother and I are standing close together on a sidewalk, her full cotton skirt blowing around me. She’s crying. He’s halfway up some steps when he turns. Squinting in the blisteringly bright Oklahoma sun, he waves and gives us a quick wink. Then the memory is over. Six days a week, my mother rushed to the mailbox to see if there was a letter from Don Reed — or later on, from my brother John or my brother David, after each of them went off to the military. When a letter came from one of the boys, the day was extra-sunny. She would read it and re-read it and call my aunts or my grandmother to read it again over the phone. My brothers all made it home safely, and for that, I’m eternally grateful. Growing up with brothers in the military gave Memorial Day a special meaning: Understanding what others have lost and honoring even more the sacrifice of those who died in service to our country and those who love them. We owe them a debt that can never be repaid. In Washington, I’ll keep pushing our government to make decisions in the best interest of our service members, their families, and our national security. To take care of our veterans when they come home. To say no to forever wars. No matter how you honor Memorial Day, I hope you have a meaningful day. Elizabeth DONATE NOW [[link removed]] Paid for by Warren for Senate All content © 2023 Warren for Senate, All Rights Reserved PO Box 171375, Boston, MA 02117 This email was sent to [email protected] . To unsubscribe, go to:  unsubscribe: [link removed]  ."
3,https://politicalemails.org/messages/1058640,Elizabeth Warren,Is this thing on?,"May 25, 2023 10:55 PM","No matter who the GOP nominates for President, it’s clear that they have chosen a path of dangerous extremism. We cannot — and will not — go down that path with them. If you’re able, please split a donation of $15 or anything you can between President Biden’s campaign and my re-election today to counteract the GOP’s fundraising momentum with a strong, grassroots movement fighting for democracy. [[link removed]] Thanks for being a part of this, Elizabeth DONATE NOW [[link removed]] Paid for by Warren for Senate All content © 2023 Warren for Senate, All Rights Reserved PO Box 171375, Boston, MA 02117 This email was sent to [email protected] . To unsubscribe, go to:  unsubscribe: [link removed]  ."
4,https://politicalemails.org/messages/1057151,Elizabeth Warren,re: Katie Porter,"May 24, 2023 6:33 PM","As a law professor, I had the privilege of getting to know so many brilliant, hardworking students over the years. And now I have the honor of supporting one of them for U.S. Senate. Her name is Katie Porter. Maybe you’ve seen how she wields a whiteboard. Maybe you’ve heard the tough questions she asks Wall Street CEOs. And maybe you’re ready to help send this courageous champion to the Senate, so she can keep fighting for families in California and across the country. Can you split a donation of $15 or any amount between Katie Porter’s campaign and our re-election today? Katie’s in a competitive primary, and neither of us take any money from corporate PACs, federal lobbyists, or executives from Big Oil, Big Pharma, or Wall Street Banks — grassroots supporters like you help keep us in the fight. [[link removed]] If you've saved payment info with ActBlue Express, your donation will process automatically: DONATE NOW: $10 [[link removed]] DONATE NOW: $15 [[link removed]] DONATE NOW: $28 [[link removed]] DONATE NOW: $50 [[link removed]] DONATE NOW: $100 [[link removed]] OTHER AMOUNT [[link removed]?] > I still remember the day when I met Katie. My consumer law class was early in the morning, meaning a lot of students had their heads down, trying to avoid being called on. But not Katie. She was determined and ready to go. When the first answer she gave wasn’t her strongest, she came to my office hours and said, “Please keep calling on me. I am going to learn to do this.” Getting to know her, I saw her bone-deep commitment to making a difference in people’s lives. Years later, then-Attorney General of California Kamala Harris secured a settlement of $18 billion from our country’s biggest banks for their predatory lending practices. She called me asking if I knew anyone who could serve as an “independent monitor” and make sure the big banks paid up. I recommended Katie for this massive undertaking, and boy did she deliver. She served as a watchdog over Wall Street banks, held their feet to the fire, and ensured California families received the billions they were owed. When Katie decided to run for Congress in 2018, I was very happy to support her. I knew that we needed more people like her in Washington — who understood the real experiences that working families faced, who had the courage to stand up to big corporations and special interests, and who would fight to make our government work for everyone, not just the rich and powerful. A Democrat hadn’t represented her district for decades, but she knew exactly how to personally connect with voters, build a strong movement, and win. She flipped that seat, and she’s been winning for working people ever since. Simply put, Katie delivers. She’s smart and she isn’t afraid. She stands up to Wall Street and Big Pharma, she holds fossil fuel companies accountable, and she fights to protect our rights. She is exactly who Californians need as their next senator, and I’m very happy to support her. We need her (and her whiteboard) in the Senate. She’s running a people-powered campaign just like ours, and I’d be so grateful if you could split a $15 donation between our campaigns today to support our fight for working families in the Senate. Every dollar makes a difference as Katie builds her grassroots team. [[link removed]] Thanks for being a part of this, Elizabeth DONATE [[link removed]] Paid for by Warren for Senate All content © 2023 Warren for Senate, All Rights Reserved PO Box 171375, Boston, MA 02117 This email was sent to [email protected] . To unsubscribe, go to:  unsubscribe: [link removed]  ."
5,https://politicalemails.org/messages/1056436,Elizabeth Warren,We should eliminate the debt ceiling altogether.  It serves no purpose.,"May 23, 2023 11:16 PM","You know, I’d like to think that politicians run for office to help people. But the GOP doesn’t seem to be interested in that. They tout how they fight for the everyman. But that isn’t really true — at all. As we continue to plummet towards the June 1 deadline to raise the debt ceiling, the House GOP’s demands have shown that they’d rather take food and health care away from people who are struggling than take $1 more in taxes from a billionaire. They are threatening to push our nation off an economic cliff — and throw millions of hard-working Americans out of their jobs — if Democrats don’t agree to slashing programs like nutrition assistance, rental assistance, Meals on Wheels, and veterans’ health care. And at the same time, Republicans across the country are passing bills that take rights away from trans people, make it harder to access FDA-approved abortion medication nationwide, and control what our educators can teach at school. I am fighting back with everything I’ve got to make sure they can’t win — and I’m going to keep laying out big, bold plans that actually lift up working families and protect our values. But if Republicans gain more power, they’d have more free reign to pass their extremist agenda and block progress on the plans this movement is fighting for. Can you pitch in $3 today to fund my re-election campaign and support our progressive movement? A contribution helps show that our movement for big, structural change is stronger than their movement for extremist, harmful regression. [[link removed]] If you've saved payment info with ActBlue Express, your donation will process automatically: DONATE NOW: $3 [[link removed]] DONATE NOW: $15 [[link removed]] DONATE NOW: $28 [[link removed]] DONATE NOW: $50 [[link removed]] DONATE NOW: $100 [[link removed]] OTHER AMOUNT [[link removed]] > I was saying last year that we needed to raise the debt ceiling before the Republican wrecking-ball crew took over the House. In fact, I suggested we should eliminate the debt ceiling altogether, because it serves no purpose — Congress already signs off on spending through an entirely separate process. But here we are. And Republicans are using this moment to hold our economy — and livelihoods of millions — hostage. This isn’t the first time we’ve seen such drastic views from Republicans, and it won’t be the last. From the future of our climate to the survival of our democracy, so much is at stake if Republicans seize more power, and we must stop them. And we can — with a grassroots movement powered by grassroots donors. Every single donation helps strengthen this movement so we can push back against the GOP and pass our plans for big, structural change. And every single donation brings us closer to hitting our critical fundraising goals we need to hit in order to run this campaign. If you’re in this fight by my side, can you pitch in $3 or whatever makes sense to power this campaign and ensure we can hit our May fundraising goal? [[link removed]] Thanks for being a part of this, Elizabeth DONATE NOW [[link removed]] Paid for by Warren for Senate All content © 2023 Warren for Senate, All Rights Reserved PO Box 171375, Boston, MA 02117 This email was sent to [email protected] . To unsubscribe, go to:  unsubscribe: [link removed]  ."
6,https://politicalemails.org/messages/1053529,Elizabeth Warren,My agenda,"May 20, 2023 3:10 PM","I’m running for re-election because although we’ve made tremendous progress as a movement (like getting student debt cancellation signed by the president, and cracking down on giant corporations that weren't paying federal income taxes), there’s still so much more to do. Here are some of the plans that I’m fighting for: - Pass a wealth tax to make the wealthy finally pay their fair share. - End the filibuster to ensure abortion rights and enact gun safety laws across the country. - Significantly reduce the cost of child care for every American family, making it as low as $10 a day. - Rein in big banks and pass stronger regulations to prevent another economic crisis. - Make the Supreme Court follow a basic code of ethics. - Expand Social Security benefits by $2,400 a year and fully fund the program all the way to 2096. - Fast and free federal tax filing, so Americans don’t have to go through profiteering middlemen like TurboTax. (This is on its way!) - Crack down on corporate profiteering and price gouging so that working families don’t pay the price for their greed. - Ban members of Congress and their spouses from owning and trading individual stocks. We need to keep laying out big, bold plans that lift up working families and protect our values, and here’s the absolutely critical part: We need leaders who are willing to fight for them. I’m going to keep fighting with everything I’ve got — but nobody gets this done on their own. If you believe that these are the types of fights elected leaders should be taking on, please pitch in $15 or anything you can today to power my re-election campaign. [secure.actblue.com/donate/wfs-may23?amount=15] If you've saved payment info with ActBlue Express, your donation will process automatically: DONATE NOW: $3 [[link removed]] DONATE NOW: $15 [[link removed]] DONATE NOW: $28 [[link removed]] DONATE NOW: $50 [[link removed]] DONATE NOW: $100 [[link removed]] OTHER AMOUNT [[link removed]] > Thanks for being a part of this, Elizabeth DONATE NOW [secure.actblue.com/donate/wfs-may23?amount=15] Paid for by Warren for Senate All content © 2023 Warren for Senate, All Rights Reserved PO Box 171375, Boston, MA 02117 This email was sent to [email protected] . To unsubscribe, go to:  unsubscribe: [link removed]  ."
7,https://politicalemails.org/messages/1050817,Elizabeth Warren,Free tax filing is one step closer to being a reality,"May 17, 2023 9:37 PM","Sometimes, fighting for change feels like pushing a boulder up a never-ending hill. But if you keep going, and going, and going, you finally glimpse sunlight streaming over the top of the hill — and you know you’re making progress. Here’s an example of a fight where we just got some encouraging news: creating a free tax filing system. You see, for years and years, I’ve called out giant tax prep corporations for lobbying to keep it an expensive hassle to file your taxes. (Looking at you, TurboTax. You too, H&R Block.) But it doesn’t have to be this way. In fact, free filing has been implemented in many other countries. And I’ve urged the IRS to make free filing a reality — in legislation, in hearings, in letters, in explainers, you name it. People like you have raised your voices, too — in petitions, on social media, in messages to elected officials, and more. Last year, we took a big stride up the hill. Democrats included funding for the program in the Inflation Reduction Act, along with support for the IRS to crack down on wealthy tax cheats (another important boulder). And this week, we found out that the IRS will launch a pilot program for free tax filing next year, with room for the program to grow in future years. I’m going to stay on this and make sure Americans don’t have to waste time and money with big tax prep corporations. We’ve been pushing this boulder up the hill side by side. I’m deeply grateful for your partnership, and I wouldn’t be in this fight without grassroots support. Let’s stay in the fight and keep the good news coming. Can you pitch in $3, or any amount that makes sense for you today, to support our re-election campaign and help grow our grassroots movement for the big, bold reforms we need? This is how we make change. [[link removed]] If you've saved payment info with ActBlue Express, your donation will process automatically: DONATE NOW: $3 [[link removed]] DONATE NOW: $15 [[link removed]] DONATE NOW: $28 [[link removed]] DONATE NOW: $50 [[link removed]] DONATE NOW: $100 [[link removed]] OTHER AMOUNT [[link removed]] > Thanks for being a part of this, Elizabeth DONATE NOW [[link removed]] Paid for by Warren for Senate All content © 2023 Warren for Senate, All Rights Reserved PO Box 171375, Boston, MA 02117 This email was sent to [email protected] . To unsubscribe, go to:  unsubscribe: [link removed]  ."
8,https://politicalemails.org/messages/1047174,Elizabeth Warren,My mother,"May 14, 2023 2:04 PM","I hope you’re having a good Mother’s Day, and if this holiday hits you hard, my heart goes out to you. I’m thinking about my mother today, and I’m thinking about a time when she dug deep to take care of our family. After my daddy had a heart attack, he couldn’t work for a while. Bills piled up. We lost our family station wagon. It looked like the house would be next to go. At night, I’d overhear my parents talk, and that's when I learned words like “mortgage” and “foreclosure.” One day, I walked into my parents’ bedroom. My mother’s face was red and puffy. A dress was laid out over the bedspread — the dress that only came out for weddings, graduations, and funerals. ""We are not going to lose this house,” she kept saying. “We are not going to lose this house.” She’d never worked outside the home. She was terrified. But she knew what she had to do. She put on that dress, she walked down the street to Sears, and she got a minimum wage job that saved our house and saved our family. This Mother’s Day, I’m remembering her courage. I’m thinking about all the mamas fighting for their families. And I’m thinking about all the ways the deck is stacked against them: Today, a minimum wage job won’t keep a mama and her baby out of poverty. That is wrong, and that is why I am fighting to raise the minimum wage and put more power in the hands of working moms and working people everywhere — which includes strengthening unions. Most women who get abortions are already mothers. Many are working multiple jobs that don’t pay enough to support their children. Abortion bans make it even harder for those families to make ends meet. That is why I will forever be madder than hell that reproductive rights — and freedom to decide when and if to raise a family — have been ripped away, and why I’m fighting for the right to an abortion for anyone who needs or wants one. Without quality, affordable child care, mothers have been shoved out of the workforce, especially in the pandemic. They will feel the consequences — in lost earnings, in lower Social Security benefits — for the rest of their lives. That is why I am fighting for universal child care in our country. I’m going to keep up those fights, and more, like paid family leave, to honor my mother and mothers everywhere. And, look: I’m sure that social media right now is chock-full of Republican politicians waxing poetic about how much they love mothers. But I don’t want to see any tributes from them today unless they’re actually going to do something — anything — to improve the lives of mothers tomorrow. Thank you for being a part of our grassroots movement to make real change — to put our government on the side of mothers and families. Happy Mother’s Day, Elizabeth DONATE [[link removed]] Paid for by Warren for Senate All content © 2023 Warren for Senate, All Rights Reserved PO Box 171375, Boston, MA 02117 This email was sent to [email protected] . To unsubscribe, go to:  unsubscribe: [link removed]  ."
9,https://politicalemails.org/messages/1046387,Elizabeth Warren,"In Pennsylvania, early donations go the furthest to help plan for the long haul","May 13, 2023 1:01 PM","Didn’t it feel incredible to see John Fetterman get elected to the U.S. Senate from Pennsylvania last year? It was a hard-fought campaign, and this team pitched in to help make it happen. And next year, we’ve got a chance to win another powerfully important Pennsylvania Senate race: by re-electing Senator Bob Casey. We’ve got a lot of Democratic seats to defend, and we’ve got to defend this Pennsylvania seat as we fight to protect and expand our majority. Bob Casey recently launched his campaign for Pennsylvania — let’s make sure that he has the strong, early momentum he needs to win next year. If it makes sense for you right now, please split a donation of $3 or any amount between Bob Casey and our re-election campaign. [[link removed]] If you've saved payment info with ActBlue Express, your donation will process automatically: DONATE NOW: $10 [[link removed]] DONATE NOW: $15 [[link removed]] DONATE NOW: $28 [[link removed]] DONATE NOW: $50 [[link removed]] DONATE NOW: $100 [[link removed]] OTHER AMOUNT [[link removed]?] > Whether it's been standing up to big banks, leading on landmark legislation for individuals with disabilities, or working to prevent campus sexual assault, Bob Casey fights for the people who need a fighter on their side. Recently, we teamed up to support rolling back the Trump-era deregulation of big banks like Silicon Valley Bank and First Republic. We’ve fought to make trade policy work for American workers. We investigated Postmaster General and Trump megadonor Louis DeJoy for sabotaging the mail during the 2020 election. And we can count on Bob Casey to stay in the fight for families. Bob Casey is a fighter for the middle class in Pennsylvania and across the country. We need to do all we can to keep him in the Senate. But I’ll just be blunt: this will be a tough battleground election. MAGA GOP operatives are already circling Pennsylvania like vultures, scheming to pick off Bob Casey and get that much closer to taking back the Senate. And you know the big banks and powerful special interests would love to knock him out of the game. Some of the potential Republican contenders so far: a former hedge fund CEO, and a guy who paid to bus Pennsylvanians to Donald Trump’s rally on January 6 — not to mention, who was at the U.S. Capitol that day. But no matter who the GOP throws into this race — even if it’s not a guy who can’t stop babbling about crudité — this will be one of the most competitive, most critically important Senate races of 2024. Early donations go the furthest to help plan for the long haul. Can you split a donation between Bob Casey’s and my re-election campaigns? Help defend our Democratic Senate majority, and help make sure we can keep up the fight. [[link removed]] Thanks for being a part of this, Elizabeth DONATE [[link removed]] Paid for by Warren for Senate All content © 2023 Warren for Senate, All Rights Reserved PO Box 171375, Boston, MA 02117 This email was sent to [email protected] . To unsubscribe, go to:  unsubscribe: [link removed]  ."
